Song,Copyright ,CCLI Song #
In Christ Alone,"Keith Getty, Stuart Townend
©2001 Thankyou Music (Admin. by SHOUT! Music Publishing Australia)
CCLI Licence No. 5485849",3350395
In Control ,"Aodhan King, Ben Fielding
©2016 Hillsong Music Publishing Australia
CCLI Licence No. 5485849",7068425
,,
In God We Trust ,"Ben Fielding, Eric Liljero, Reuben Morgan
©2015 Hillsong Music Publishing UK (Admin. by Hillsong Music Publishing Australia)
Hillsong Music Publishing Australia
CCLI Licence No. 5485849",7037224
Indescribale ,"Jesse Reeves, Laura Story
© 2004 Laura Stories (Admin. by SHOUT! Music Publishing Australia)
sixsteps Music (Admin. by SHOUT! Music Publishing Australia)
worshiptogether.com songs (Admin. by SHOUT! Music Publishing Australia)
CCLI Licence No. 5485849
",4403076
Jerusalem ,"Jonny Robinson, Rich Thompson, Tiarne Tranter
© 2014 CityAlight Music (Admin. by Integrity Music)
CCLI Licence No. 5485849
",7003218
Lead me to the Cross,"Brooke Ligertwood
© 2006 Hillsong Music Publishing Australia
CCLI Licence No. 5485849 
",4785828
Living Hope ,"Brian Johnson, Phil Wickham
© 2017 Phil Wickham Music (Admin. by Crossroad Distributors Pty. Ltd.)
Simply Global Songs (Admin. by Crossroad Distributors Pty. Ltd.)
Sing My Songs (Admin. by Crossroad Distributors Pty. Ltd.)
Bethel Music Publishing (Admin. by SHOUT! Music Publishing Australia)
CCLI Licence No. 5485849",7106807
Man Of Sorrows ,"Brooke Ligertwood, Matt Crocker
© 2012 Hillsong Music Publishing Australia
CCLI Licence No. 5485849
",6476063
My Jesus I Love Thee,"*This song is a public domain song, no lyrics reporting is required.

",27817
My Lighthouse ,"Chris Llewellyn, Gareth Gilkeson
© 2013 Thankyou Music (Admin. by SHOUT! Music Publishing Australia)
CCLI Licence No. 5485849
",7002032
No Longer Slaves,"Brian Johnson, Joel Case, Jonathan David Helser
© 2014 Bethel Music Publishing (Admin. by SHOUT! Music Publishing Australia)
CCLI Licence No. 5485849",7030123
Nobody Loves Me Like You Do,"Mark Pennells, Zarc Porter
©Movation Music (Admin. by CopyCare Pacific Pty. Ltd.)
CCLI Licence No. 5485849",7013040
Nothing But The Blood Of Jesus ,"Robert Lowry
© Words: Public Domain
Music: Public Domain
CCLI Licence No. 5485849",21332
O Come To The Altar,"Chris Brown, Mack Brock, Steven Furtick, Wade Joye
©  2015 Music by Elevation Worship Publishing (Admin. by Essential Music Publishing LLC)
CCLI Licence No. 5485849
",7051511
O Praise The Name (Anastasis) ,"Benjamin Hastings, Dean Ussher, Marty Sampson
© 2015 Small City Music (Admin. by Music Services, Inc.)
Hillsong Music Publishing Australia
CCLI Licence No. 5485849
",7037787
